Button #,Property,Site,Cat #,Diameter measurement 1,Diameter measurement 2,Punching flaw,Lathing flaw,Pressing flaw,Stamping Flaw,Shank Attachment Flaw,Plating Flaw,,Notes
1,Montpelier,South Yard,12782.AF,19.4,19.3,,,,,minor (Metal daub slightly unsmooth),,y,Backstamp 'W. WALLIS/EXTRA RICH'
2,Montpelier,South Yard,23105.ED,22.8,22.8,,,,"moderate (backstamp offcenter, too light)",,,y,Backstamp 'SUR D___E A. CCO' with stars
3,Montpelier,South Yard,23176.AR,13,12.7,,minor (uneven lathing),,,,,n,
4,Montpelier,South Yard,22373.AL,19.9,19.9,,,,,,,y,Backstamp 'LEWIS & TOMES/EXTRA RICH'
5,Montpelier,South Yard,21115.DE,17,17,,,,,,,y,Backstamp '_____ WARRENTED'
6,Montpelier,South Yard,21314.DW,19.5,19.4,,,,,moderate (Metal daub uncentered),,y,Backstamp ring around shank
7,Montpelier,South Yard,21489.DS,21.3,21.3,,,,,,,y,Backstamp floral design
8,Montpelier,South Yard,21688.CC,12.3,12.3,,,,,,,n,"Concave, ring stamp on face"
9,Montpelier,South Yard,21314.DV,11.6,11.7,,,,,,,n,
10,Montpelier,South Yard,22871.CF,14.5,14.3,,minor (uneven lathing),,,,,n,thin
11,Montpelier,South Yard,23216.AQ,13.3,13.3,,minor (uneven lathing),,,,,n,
12,Montpelier,South Yard,20831.CN,12.8,12.8,,minor (uneven lathing),,,,,y,Backstamp ring around shank
13,Montpelier,South Yard,23251.CG,12.9,12.9,,,,,,,y,Backstamp 'GILT' laurel design
14,Montpelier,South Yard,20730.BM,14,13.7,,,,,,,n,Golden dimples on face
15,Montpelier,South Yard,20269.AF,17.2,17,,,,,,,n,
16,Montpelier,South Yard,20442.AS,21.6,21.6,,,,,,,n,Bent
17,Montpelier,South Yard,20425.CL,19.4,19.5,,moderate (incomplete lathing),,minor (backstamp offcenter),moderate (metal daub unsmoothed),,y,"Backstamp ring around shank, stars"
18,Montpelier,South Yard,16178.DS,18.6,18.5,,minor (uneven lathing),,,,,y,"Backstamp '_OLOUR' and '_UPERIOR' upside down, ring of hearts and stars"
19,Montpelier,South Yard,13449.BX,12.5,12.5,,minor (uneven lathing),,,,,y,Backstamp 'COLOUR/TREBLE GILT '
20,Montpelier,South Yard,13354.CW,17.3,17.3,,,,,,,y,Backstamp 'RICH ____ _____' laurel design
21,Montpelier,South Yard,13293.AA,19,19,,,,,moderate (shank offcenter),,n,
22,Montpelier,South Yard,13195.AB,18.9,18.8,,minor (uneven lathing),,,,,y,Backstamp 'PLATED' laurel design
23,Montpelier,South Yard,13143.AC,19,19.1,,,,,,,y,Backstamp 'DOUBLE PLATED/ _ONDO__' laurel design
24,Montpelier,South Yard,13184.AL,19.2,19.3,,,,,,,n,
25,Montpelier,South Yard,13245.AF,14.3,14.3,,,,,,,y,Backstamp 'TREBLE PLATED'
26,Montpelier,South Yard,12457.AX,12,12,,,,,,,n,
27,Montpelier,South Yard,12453.AU,15.7,15.9,,moderate (button misshapen),,,"minor (casting spur), minor (shank offcenter)",,n,
