Button #,Property,Site,Average Diameter,Size,Flaw Significance,Backstamped,Free
73,2,10,11.7,1,1,1,0
77,2,10,12.55,1,0,0,0
79,2,10,12.65,1,3,0,0
74,2,10,12.9,1,2,0,0
80,2,10,12.9,1,2,0,0
83,2,10,12.95,1,1,0,0
89,2,10,13.05,1,1,0,0
87,2,10,13.4,1,1,0,0
76,2,10,13.5,1,3,1,0
84,2,10,14.05,1,0,0,0
75,2,10,14.15,1,1,1,0
78,2,10,14.35,1,3,0,0
82,2,10,14.45,1,2,0,0
88,2,10,14.55,1,2,0,0
86,2,10,16.45,2,1,0,0
81,2,10,18.65,2,1,1,0
85,2,10,20.75,2,0,0,0
51,2,1,10.95,1,1,0,0
47,2,1,11.1,1,0,0,0
39,2,1,12.1,1,2,1,0
43,2,1,12.25,1,1,0,0
55,2,1,12.45,1,3,1,0
61,2,1,12.65,1,3,0,0
52,2,1,12.75,1,2,1,0
37,2,1,12.95,1,1,1,0
46,2,1,13.05,1,0,1,0
56,2,1,13.25,1,0,1,0
48,2,1,13.45,1,1,0,0
53,2,1,13.65,1,1,0,0
44,2,1,13.7,1,2,0,0
45,2,1,14.15,1,1,1,0
49,2,1,14.2,1,0,1,0
59,2,1,14.2,1,0,0,0
62,2,1,14.4,1,2,0,0
60,2,1,14.5,1,2,1,0
58,2,1,17.7,2,1,1,0
50,2,1,17.75,2,1,0,0
42,2,1,18,2,0,1,0
36,2,1,18.35,2,1,0,0
54,2,1,18.65,2,1,1,0
31,2,1,18.85,2,0,1,0
38,2,1,19.4,2,1,0,0
41,2,1,19.7,2,0,1,0
30,2,1,20.05,2,2,1,0
32,2,1,20.95,2,0,1,0
57,2,1,21,2,0,1,0
35,2,1,21.05,2,2,1,0
34,2,1,21.15,2,1,1,0
40,2,1,22.15,2,0,0,0
9,2,2,11.65,1,0,0,0
26,2,2,12,1,0,0,0
8,2,2,12.3,1,0,0,0
19,2,2,12.5,1,1,1,0
12,2,2,12.8,1,1,1,0
3,2,2,12.85,1,1,0,0
13,2,2,12.9,1,0,1,0
11,2,2,13.3,1,1,0,0
28,2,2,13.3,1,1,0,0
14,2,2,13.85,1,0,0,0
25,2,2,14.3,1,0,1,0
10,2,2,14.4,1,1,0,0
27,2,2,15.8,1,2,0,0
5,2,2,17,2,0,1,0
15,2,2,17.1,2,0,0,0
20,2,2,17.3,2,0,1,0
18,2,2,18.55,2,1,1,0
22,2,2,18.85,2,1,1,0
21,2,2,19,2,2,0,0
23,2,2,19.05,2,0,1,0
24,2,2,19.25,2,0,0,0
1,2,2,19.35,2,1,1,0
6,2,2,19.45,2,2,1,0
17,2,2,19.45,2,2,1,0
4,2,2,19.9,2,0,1,0
7,2,2,21.3,2,0,1,0
16,2,2,21.6,2,0,0,0
2,2,2,22.8,2,2,1,0
29,2,2,23.3,2,1,1,0
70,2,3,11.35,1,0,0,1
63,2,3,11.4,1,1,0,1
72,2,3,12.2,1,1,0,1
69,2,3,12.85,1,1,1,1
65,2,3,13.2,1,0,0,1
68,2,3,14,1,1,1,1
67,2,3,14.15,1,0,0,1
66,2,3,14.65,1,1,1,1
71,2,3,22.55,2,2,0,1
64,2,3,22.95,2,1,1,1
395,2,3,33.25,3,0,0,1
394,2,3,34.25,3,0,0,1
110,2,4,7,1,0,1,0
118,2,4,11.6,1,1,0,0
150,2,4,11.65,1,0,1,0
152,2,4,11.65,1,1,0,0
153,2,4,11.65,1,0,0,0
120,2,4,11.75,1,1,0,0
131,2,4,11.75,1,0,1,0
138,2,4,11.75,1,0,1,0
109,2,4,11.95,1,2,1,0
165,2,4,12.1,1,0,0,0
128,2,4,12.2,1,2,0,0
133,2,4,12.2,1,1,1,0
111,2,4,12.3,1,2,0,0
134,2,4,12.4,1,0,1,0
155,2,4,12.4,1,0,1,0
148,2,4,12.5,1,0,0,0
156,2,4,12.6,1,2,1,0
135,2,4,12.65,1,1,0,0
114,2,4,12.85,1,1,1,0
96,2,4,13.1,1,1,1,0
91,2,4,13.4,1,0,1,0
125,2,4,13.4,1,2,0,0
149,2,4,13.45,1,2,0,0
116,2,4,13.55,1,0,0,0
105,2,4,13.6,1,2,0,0
101,2,4,13.7,1,2,1,0
129,2,4,13.7,1,0,1,0
113,2,4,13.75,1,2,0,0
158,2,4,13.75,1,1,1,0
122,2,4,13.85,1,0,0,0
132,2,4,13.85,1,0,0,0
143,2,4,14,1,0,1,0
154,2,4,14.25,1,1,1,0
167,2,4,14.7,1,2,1,0
90,2,4,15.15,1,1,0,0
139,2,4,15.6,1,1,0,0
107,2,4,16.7,2,3,0,0
141,2,4,16.7,2,0,1,0
140,2,4,16.85,2,0,1,0
121,2,4,16.9,2,0,1,0
126,2,4,17.2,2,1,1,0
161,2,4,17.25,2,2,1,0
147,2,4,17.3,2,0,1,0
157,2,4,17.3,2,1,1,0
102,2,4,17.5,2,0,1,0
112,2,4,17.7,2,1,0,0
166,2,4,17.85,2,1,1,0
159,2,4,17.9,2,1,1,0
108,2,4,17.95,2,2,1,0
145,2,4,18.2,2,0,1,0
119,2,4,18.25,2,0,1,0
136,2,4,18.9,2,0,1,0
92,2,4,18.95,2,0,0,0
117,2,4,19.4,2,2,0,0
104,2,4,19.5,2,0,1,0
115,2,4,19.5,2,0,1,0
151,2,4,19.5,2,0,0,0
130,2,4,19.55,2,1,1,0
142,2,4,19.55,2,1,0,0
99,2,4,19.8,2,0,0,0
